cluster,journal,0
0,elpais,124
0,epoca,139
0,estadao,115
0,folha,139
0,g1,115
0,istoe,162
0,oglobo,108
0,veja,125
1,folha,1
2,elpais,20
2,epoca,12
2,estadao,15
2,folha,18
2,g1,18
2,istoe,7
2,oglobo,15
2,veja,11
3,estadao,1
4,g1,1
4,istoe,1
4,veja,1
5,elpais,14
5,epoca,27
5,estadao,22
5,folha,18
5,g1,33
5,istoe,13
5,oglobo,31
5,veja,25
6,g1,1
7,elpais,51
7,epoca,25
7,estadao,58
7,folha,43
7,g1,43
7,istoe,39
7,oglobo,46
7,veja,62
8,estadao,1
9,estadao,1
9,g1,1
9,oglobo,1
9,veja,1
10,istoe,1
11,elpais,1
