cluster,subject,0
0,afastamento-aecio,179
0,impeachment-dilma,19
0,prisao-lula,19
0,reforma-previdencia,1
0,reforma-trabalhista,9
0,soltura-lula,12
1,prisao-lula,1
2,prisao-lula,1
3,reforma-previdencia,1
4,afastamento-aecio,1
4,impeachment-dilma,345
4,prisao-lula,8
4,reforma-previdencia,167
4,reforma-trabalhista,364
4,soltura-lula,17
5,reforma-previdencia,78
5,reforma-trabalhista,12
6,prisao-lula,70
6,soltura-lula,36
7,impeachment-dilma,10
7,prisao-lula,226
7,reforma-trabalhista,2
7,soltura-lula,127
8,reforma-trabalhista,1
